,OT
0,30.5310001373291
1,27.78700065612793
2,27.78700065612793
3,25.04400062561035
4,21.947999954223643
5,21.173999786376953
6,22.79199981689453
7,23.143999099731445
8,21.66699981689453
9,17.445999145507812
10,19.979000091552734
11,20.11899948120117
12,19.20499992370605
13,18.57200050354004
14,19.55599975585937
15,17.305000305175778
16,19.48600006103516
17,19.13400077819824
18,20.68199920654297
19,18.71199989318848
20,17.868000030517578
21,18.009000778198242
22,18.009000778198242
23,19.76799964904785
24,21.104000091552734
25,19.69700050354004
26,20.048999786376953
27,20.75200080871582
28,21.38500022888184
29,22.229999542236328
30,20.26000022888184
31,21.104000091552734
32,20.61199951171875
33,18.36100006103516
34,20.96299934387207
35,19.416000366210938
36,20.82299995422364
37,20.190000534057617
38,21.315000534057617
39,22.018999099731445
40,20.68199920654297
41,25.465999603271484
42,25.88800048828125
43,27.85700035095215
44,27.295000076293945
45,22.229999542236328
46,21.947999954223643
47,27.295000076293945
48,29.334999084472656
49,26.02799987792969
50,24.34000015258789
51,26.45000076293945
52,25.95800018310547
53,24.05900001525879
54,25.32500076293945
55,23.636999130249023
56,26.3799991607666
57,27.364999771118164
58,28.06800079345703
59,29.47500038146973
60,26.80200004577637
61,29.968000411987305
62,30.38999938964844
63,31.16399955749512
64,29.756999969482425
65,32.28900146484375
66,31.9379997253418
67,28.56100082397461
68,21.525999069213867
69,22.229999542236328
70,19.416000366210938
71,18.57200050354004
72,21.66699981689453
73,25.535999298095703
74,27.85700035095215
75,27.92799949645996
76,24.62100028991699
77,23.847999572753903
78,23.07399940490723
79,22.51099967956543
80,21.66699981689453
81,25.395000457763672
82,25.18400001525879
83,29.54599952697754
84,29.47500038146973
85,29.263999938964844
86,30.95299911499023
87,31.72599983215332
88,33.132999420166016
89,28.982999801635746
90,28.982999801635746
91,31.72599983215332
92,25.18400001525879
93,30.5310001373291
94,27.645999908447266
95,25.465999603271484
96,25.95800018310547
97,25.95800018310547
98,26.02799987792969
99,28.913000106811523
100,30.459999084472656
101,31.375
102,32.78200149536133
103,31.72599983215332
104,30.31999969482422
105,30.459999084472656
106,32.92200088500977
107,31.093000411987305
108,25.67700004577637
109,27.15399932861328
110,28.77199935913086
111,30.60099983215332
112,32.007999420166016
113,33.132999420166016
114,31.51499938964844
115,31.02300071716309
116,31.44499969482422
117,31.72599983215332
118,30.95299911499023
119,30.459999084472656
120,28.913000106811523
121,30.38999938964844
122,31.51499938964844
123,31.233999252319336
124,30.5310001373291
125,30.108999252319336
