,0
0,8086.0
1,8086.0
2,7848.0
3,7848.0
4,7610.0
5,8086.0
6,7848.0
7,7372.0
8,7372.0
9,7372.0
10,7372.0
11,7848.0
12,8086.0
13,7372.0
14,7848.0
15,7135.0
16,7848.0
17,7372.0
18,7372.0
19,7372.0
20,7848.0
21,7610.0
22,7372.0
23,7372.0
24,7135.0
25,7135.0
26,7372.0
27,7135.0
28,7610.0
29,7135.0
30,7135.0
31,7135.0
32,6897.0
33,6897.0
34,6659.0
35,6659.0
36,6659.0
37,6659.0
38,5945.0
39,6897.0
40,7610.0
41,7610.0
42,7135.0
43,6421.0
44,6421.0
45,6659.0
46,6183.0
47,6421.0
48,6183.0
49,6421.0
50,6183.0
51,6421.0
52,6183.0
53,5945.0
54,6183.0
55,6421.0
56,5708.0
57,6183.0
58,6183.0
59,6421.0
60,6183.0
61,6421.0
62,6421.0
63,6421.0
64,6659.0
65,5945.0
66,6897.0
67,6897.0
68,6421.0
69,6183.0
70,6659.0
71,6659.0
72,6897.0
73,6659.0
74,6421.0
75,6659.0
76,6659.0
77,6421.0
78,6659.0
79,6183.0
80,6183.0
81,6183.0
82,6421.0
83,5945.0
84,6421.0
85,6421.0
86,6183.0
87,6183.0
88,6183.0
89,6183.0
90,6421.0
91,6659.0
92,6659.0
93,6183.0
94,6897.0
95,6897.0
96,7848.0
97,7135.0
98,7372.0
99,7372.0
100,7610.0
101,8324.0
102,9037.0
103,8800.0
104,8800.0
105,7610.0
106,9037.0
107,8800.0
108,8800.0
109,9275.0
110,9751.0
111,9275.0
112,9275.0
113,9037.0
114,9275.0
115,9751.0
116,10464.0
117,10940.0
118,10940.0
119,10702.0
120,10940.0
121,10702.0
122,10940.0
123,11654.0
124,11891.0
125,11416.0
126,11654.0
127,11416.0
128,11654.0
129,10940.0
130,11654.0
131,11178.0
132,11416.0
133,12367.0
134,12843.0
135,12605.0
136,12843.0
137,12843.0
138,13556.0
139,13556.0
140,14032.0
141,14032.0
142,14270.0
143,14983.0
144,14745.0
145,14032.0
146,14508.0
147,14508.0
148,15459.0
149,15697.0
150,15459.0
151,15459.0
152,14270.0
153,15697.0
154,15221.0
155,15221.0
156,14745.0
157,15697.0
158,15935.0
159,16648.0
160,17124.0
161,16172.0
162,16648.0
163,15697.0
164,15935.0
165,16410.0
166,16410.0
167,16410.0
168,15935.0
169,16410.0
170,16648.0
171,16172.0
172,15935.0
173,16886.0
174,16886.0
175,15935.0
176,15697.0
177,15459.0
178,16886.0
179,17362.0
180,17362.0
181,17124.0
182,15935.0
183,16648.0
184,16172.0
185,16172.0
186,15221.0
187,15459.0
188,15459.0
189,15935.0
190,17124.0
191,17362.0
192,18075.0
193,17837.0
194,17837.0
195,18075.0
196,17362.0
197,17837.0
198,18075.0
199,19264.0
200,19978.0
201,18551.0
202,18313.0
203,17600.0
204,17362.0
205,17600.0
206,18075.0
207,18789.0
208,18313.0
209,17600.0
210,17362.0
211,16410.0
212,17124.0
213,17600.0
214,17600.0
215,17600.0
216,18075.0
217,19502.0
218,20929.0
219,19978.0
220,18075.0
221,17362.0
222,17837.0
223,17124.0
224,16410.0
225,17124.0
226,18075.0
227,17124.0
228,17362.0
229,17600.0
230,17837.0
231,17362.0
232,16172.0
233,17124.0
234,18313.0
235,17837.0
236,17362.0
237,16886.0
238,17124.0
239,17362.0
240,17362.0
241,16886.0
242,16648.0
243,16648.0
244,16648.0
245,16172.0
246,16172.0
247,15935.0
248,15935.0
249,14508.0
250,13794.0
251,12843.0
252,12367.0
253,12843.0
254,12367.0
255,12843.0
256,13318.0
257,12843.0
258,12843.0
259,12843.0
260,12367.0
261,13081.0
262,14508.0
263,14983.0
264,15697.0
265,16172.0
266,15697.0
267,14508.0
268,14270.0
269,14508.0
270,14032.0
271,14983.0
272,14983.0
273,13556.0
274,14270.0
275,13318.0
276,13318.0
277,14032.0
278,14745.0
279,14745.0
280,15221.0
281,14745.0
282,14745.0
283,13556.0
284,13556.0
285,13318.0
286,12605.0
287,14032.0
288,13556.0
289,14745.0
290,15935.0
291,16410.0
292,16172.0
293,16172.0
294,17600.0
295,19502.0
296,18789.0
297,18789.0
298,18075.0
299,18075.0
300,17600.0
301,17124.0
302,16648.0
303,17124.0
304,16172.0
305,17124.0
306,15459.0
307,15935.0
308,16172.0
309,14270.0
310,13318.0
311,13318.0
312,13318.0
313,14032.0
314,16648.0
315,16648.0
316,16648.0
317,16172.0
318,15697.0
319,15935.0
320,15697.0
321,15935.0
322,15459.0
323,15221.0
324,15221.0
325,15459.0
326,14983.0
327,16172.0
328,15935.0
329,17124.0
330,18551.0
331,18551.0
332,17600.0
333,17124.0
334,17124.0
335,17600.0
336,17600.0
337,16648.0
338,15697.0
339,16886.0
340,16886.0
341,16410.0
342,16410.0
343,16410.0
344,16172.0
345,15697.0
346,16648.0
347,16648.0
348,15935.0
349,16410.0
350,15697.0
351,17362.0
352,17124.0
353,16886.0
354,16886.0
355,17124.0
356,16410.0
357,16648.0
358,16410.0
359,17124.0
360,17362.0
361,17600.0
362,17837.0
363,17124.0
364,16410.0
365,15697.0
366,14508.0
367,15221.0
368,14508.0
369,14983.0
370,14508.0
371,14745.0
372,14983.0
373,14983.0
374,14745.0
375,14508.0
376,14270.0
377,14508.0
378,14270.0
379,13318.0
380,11416.0
381,10940.0
382,9513.0
383,9751.0
384,9989.0
385,10702.0
386,10464.0
387,10940.0
388,10702.0
389,11891.0
390,12367.0
391,11891.0
392,11416.0
393,10940.0
394,11178.0
395,10227.0
396,9513.0
397,9751.0
398,9037.0
399,9513.0
400,9037.0
401,9275.0
402,9513.0
403,10464.0
404,10464.0
405,9989.0
406,9751.0
